step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
56,0.999932587146759,0.9997835534947406,2.2791999999993706e-05,2.2685164968646854e-05,fast,STABLE,3.725841300472599e-05,1.4709503407261212e-05,5.194648276862779e-06,,,,9.02048532409605e-05,0.00012349057043459233,1770134193.285238
57,0.9993027448654175,0.999687391768876,2.2583000000020448e-05,2.2664731974921575e-05,fast,STABLE,-9.616172586457417e-05,2.5716610776101284e-05,-1.517287558627789e-05,,,,0.00071983813458254,0.0001589181247863003,1770134193.2863512
58,0.9997680187225342,0.9997035171596077,2.2458999999974694e-05,2.2623585579932197e-05,fast,STABLE,1.6125390731702716e-05,2.817054030917606e-05,-4.523211052509523e-06,,,,0.000254440277465795,0.0001804831922607164,1770134193.2874649
59,0.9997634291648865,0.9997154995606635,2.2957999999961842e-05,2.2690468463938127e-05,fast,STABLE,1.1982401055821157e-05,2.88881704809881e-05,-9.78168911178745e-06,,,,0.00025952883511348723,0.00037193431127935384,1770134193.288658
60,0.999431312084198,0.9996586620653705,2.2541000000098066e-05,2.2660574771170115e-05,fast,STABLE,-5.683749529306059e-05,3.743155357028344e-05,-1.752660327307698e-05,,,,0.0005912289158021,0.00013203040676890154,1770134193.289779
61,0.9999557137489319,0.9997180724020828,2.274999999984928e-05,2.2678459816905948e-05,fast,STABLE,5.9410336712306666e-05,3.645061925782375e-05,-1.3096218531560843e-05,,,,6.703625106796451e-05,0.00017523219281012636,1770134193.2909079
62,0.9999486804008484,0.9997641940018359,2.2625000000164874e-05,2.2667767853557733e-05,fast,STABLE,4.6121599753146114e-05,3.6545692476552116e-05,1.536044659198321e-05,,,,7.39445991517762e-05,8.910448110976965e-05,1770134193.292421
63,0.9996426105499268,0.9997398773114541,2.2667000000087256e-05,2.266761428286364e-05,fast,STABLE,-2.4316690381831485e-05,3.675365143444216e-05,7.272030369276372e-06,,,,0.00038005645007332944,0.00017647330892933688,1770134193.293928
64,0.9998015761375427,0.9997522170766718,2.2541000000098066e-05,2.2642291426310524e-05,fast,STABLE,1.2339765217750376e-05,3.571828265581629e-05,7.343503201662216e-06,,,,0.00022096486245737346,9.629224777207845e-05,1770134193.29505
65,0.9996583461761475,0.9997334428965671,2.2791999999993706e-05,2.267223314104716e-05,fast,STABLE,-1.8774180104763616e-05,3.522612541415688e-05,1.4956166239321612e-05,,,,0.00036444582385253277,0.00030549296951276617,1770134193.296201
